ID,FINCA,MAESTRA,PROMEDIADO,PRESTACIONES,FACTOR
100001,ENANO,REG SUR,G04,0.3887,1.0
100001,EVA,REG SUR,G04,0.3887,1.0
100001,SAMI,REG SUR,G04,0.3887,1.0
100001,VEGA,REG SUR,G04,0.3887,1.0
100001,FEDERICA,REG SUR,G04,0.3887,1.0
100001,NEERLANDIA,SG,G04,0.3887,1.0
100001,SAN ANTONIO,SG,G04,0.3887,1.0
100001,MRS,REG SUR,G04,0.3887,1.0
100001,DON FUAD,REG SUR,G04,0.3887,1.0
100001,EUFEMIA,EUF,G04,0.3887,1.0
100001,OLGA,EUF,G04,0.3887,1.0
100001,DON SAID,REG SUR,G04,0.3887,1.0
100001,ASUNTINA,CONT02,G04,0.3887,1.0
100001,PORLAMAR,REG SUR,G05,0.3887,1.0
100001,EL MORRO,REG SUR,G04,0.3887,1.0
100001,LA PERLA,REG SUR,G04,0.3887,1.0
100001,ARACATACA,REG SUR,G05,0.3887,1.0
100001,BOCATOMA,REG SUR,G04,0.3887,1.0
100001,JOYA,CONT01,G04,0.3887,1.0
100001,ESMERALDA,CONT01,G04,0.3887,1.0
100001,NARANJOS,CONT01,G04,0.3887,1.0
100001,YUNQUE,CONT01,G04,0.3887,1.0
100001,DONAMA,CONT01,G04,0.3887,1.0
100001,BURDEOS,CONT01,G04,0.3887,1.0
100001,DON MARCE SUR 2,ORG SUR,G04,0.3887,1.0
100001,LAS MARGARITAS,ORG SUR,G04,0.3887,1.0
100001,LA CECILIA,ORG SUR,G04,0.3887,1.0
100001,JOSEFINA,ORG SUR,G04,0.3887,1.0
100001,SAN ALFREDO,ORG SUR,G04,0.3887,1.0
100001,VICTORIA,ORG SUR,G04,0.3887,1.0
100001,CIRCASIA,ORG SUR,G04,0.3887,1.0
100001,CIÉNAGA,ORG SUR,G04,0.3887,1.0
100001,MARÍA,ORG SUR,G04,0.3887,1.0
100001,REMANSO,ORG SUR,G04,0.3887,1.0
100001,PIEDECUESTA,ORG SUR,G04,0.3887,1.0
100001,NÁUTICA,CESAR,G05,0.3887,1.0
100001,LAS LINAS,LINAS,G04,0.3887,1.0
100001,DON ALÍ,ORG NORTE,G04,0.3887,1.0
100001,DR4 DON ALÍ,ORG NORTE,G04,0.3887,1.0
100001,DON CARLOS,ORG NORTE,G04,0.3887,1.0
100001,EVA NORTE,ORG NORTE,G05,0.3887,1.0
100001,DON PEDRO,ORG NORTE,G04,0.3887,1.0
100001,LA VELA,ORG NORTE,G04,0.3887,1.0
100001,ESPERANZA,ORG NORTE,G04,0.3887,1.0
100001,LINA MARGARITA,PLAT,G04,0.3887,1.0
100001,DON MARCE,CONT04,G04,0.3887,1.0
100002,ENANO,REG SUR,G04,0.3887,1.0
100002,EVA,REG SUR,G04,0.3887,1.0
100002,SAMI,REG SUR,G04,0.3887,1.0
100002,VEGA,REG SUR,G04,0.3887,1.0
100002,FEDERICA,REG SUR,G04,0.3887,1.0
100002,NEERLANDIA,SG,G04,0.3887,1.0
100002,SAN ANTONIO,SG,G04,0.3887,1.0
100002,MRS,REG SUR,G04,0.3887,1.0
100002,DON FUAD,REG SUR,G04,0.3887,1.0
100002,EUFEMIA,EUF,G04,0.3887,1.0
100002,OLGA,EUF,G04,0.3887,1.0
100002,DON SAID,REG SUR,G04,0.3887,1.0
100002,ASUNTINA,CONT02,G04,0.3887,1.0
100002,PORLAMAR,REG SUR,G05,0.3887,1.0
100002,EL MORRO,REG SUR,G04,0.3887,1.0
100002,LA PERLA,REG SUR,G04,0.3887,1.0
100002,ARACATACA,REG SUR,G05,0.3887,1.0
100002,BOCATOMA,REG SUR,G04,0.3887,1.0
100002,JOYA,CONT01,G04,0.3887,1.0
100002,ESMERALDA,CONT01,G04,0.3887,1.0
100002,NARANJOS,CONT01,G04,0.3887,1.0
100002,YUNQUE,CONT01,G04,0.3887,1.0
100002,DONAMA,CONT01,G04,0.3887,1.0
100002,BURDEOS,CONT01,G04,0.3887,1.0
100002,DON MARCE SUR 2,ORG SUR,G04,0.3887,1.0
100002,LAS MARGARITAS,ORG SUR,G04,0.3887,1.0
100002,LA CECILIA,ORG SUR,G04,0.3887,1.0
100002,JOSEFINA,ORG SUR,G04,0.3887,1.0
100002,SAN ALFREDO,ORG SUR,G04,0.3887,1.0
100002,VICTORIA,ORG SUR,G04,0.3887,1.0
100002,CIRCASIA,ORG SUR,G04,0.3887,1.0
100002,CIÉNAGA,ORG SUR,G04,0.3887,1.0
100002,MARÍA,ORG SUR,G04,0.3887,1.0
100002,REMANSO,ORG SUR,G04,0.3887,1.0
100002,PIEDECUESTA,ORG SUR,G04,0.3887,1.0
100002,NÁUTICA,CESAR,G05,0.3887,1.0
100002,LAS LINAS,LINAS,G04,0.3887,1.0
100002,DON ALÍ,ORG NORTE,G04,0.3887,1.0
100002,DR4 DON ALÍ,ORG NORTE,G04,0.3887,1.0
100002,DON CARLOS,ORG NORTE,G04,0.3887,1.0
100002,EVA NORTE,ORG NORTE,G05,0.3887,1.0
