SEMANA;6/01/2024;13/01/2024;20/01/2024;27/01/2024;3/02/2024;10/02/2024;17/02/2024;24/02/2024;2/03/2024;9/03/2024;16/03/2024;23/03/2024;30/03/2024;6/04/2024;13/04/2024;20/04/2024;27/04/2024;4/05/2024;11/05/2024;18/05/2024;25/05/2024;1/06/2024;8/06/2024;15/06/2024;22/06/2024;29/06/2024;6/07/2024;13/07/2024;20/07/2024;27/07/2024;3/08/2024;10/08/2024;17/08/2024;24/08/2024;31/08/2024;7/09/2024;14/09/2024;21/09/2024;28/09/2024;5/10/2024;12/10/2024;19/10/2024;26/10/2024;2/11/2024;9/11/2024;16/11/2024;23/11/2024;30/11/2024;7/12/2024;14/12/2024;21/12/2024;28/12/2024
ENERO;1;1;1;1;0.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FEBRERO;0;0;0;0;0.4;1;1;1;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MARZO;0;0;0;0;0;0;0;0;0.2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ABRIL;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MAYO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
JUNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
JULIO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AGOSTO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SEPTIEMBRE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0.2;0;0;0;0;0;0;0;0;0;0;0;0
OCTUBRE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8;1;1;1;0.8;0;0;0;0;0;0;0;0
NOVIEMBRE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;1;1;1;1;0;0;0;0
DICIEMBRE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
