FINCA;2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;TOTAL
ENANO;32617045.56;32617045.56;32617045.56;32617045.56;32617045.56;32617045.56;32617045.56;32617045.56;32617045.56;32617045.56;32617045.56;32617045.56;391404546.71999997
EVA;23673662.099999998;23673662.099999998;23673662.099999998;23673662.099999998;23673662.099999998;23673662.099999998;23673662.099999998;23673662.099999998;23673662.099999998;23673662.099999998;23673662.099999998;23673662.099999998;284083945.2
SAMI;32266324.639999997;33493847.86;33844568.78;33844568.78;33844568.78;33844568.78;33844568.78;33844568.78;33844568.78;33844568.78;33844568.78;33844568.78;404205860.29999995
VEGA;13152034.5;13152034.5;13152034.5;13152034.5;13152034.5;13152034.5;13152034.5;13152034.5;13152034.5;13152034.5;13152034.5;13152034.5;157824414.0
FEDERICA;38053219.82;37351777.98;37001057.059999995;38053219.82;38053219.82;38053219.82;38053219.82;38053219.82;38053219.82;38053219.82;38053219.82;38053219.82;454885033.23999995
NEERLANDIA;25251906.24;25251906.24;25251906.24;25251906.24;25251906.24;25251906.24;25251906.24;25251906.24;25251906.24;25251906.24;25251906.24;25251906.24;303022874.88000005
SAN ANTONIO;27531592.22;27531592.22;27531592.22;27531592.22;27531592.22;27531592.22;27531592.22;27531592.22;27531592.22;27531592.22;27531592.22;27531592.22;330379106.64
MRS;15607080.94;12976674.04;10872348.52;10872348.52;10872348.52;10872348.52;10872348.52;10872348.52;10872348.52;10872348.52;10872348.52;10872348.52;137307240.17999998
DON FUAD;34019929.24;34019929.24;34019929.24;34019929.24;34019929.24;34019929.24;34019929.24;34019929.24;34019929.24;34019929.24;34019929.24;34019929.24;408239150.88000005
EUFEMIA;53660300.76;53660300.76;53660300.76;53660300.76;52608138.0;51380614.78;51380614.78;51380614.78;51380614.78;51380614.78;51380614.78;51380614.78;626913644.4999999
OLGA;9294104.379999999;9294104.379999999;9294104.379999999;9294104.379999999;9294104.379999999;9294104.379999999;9294104.379999999;9294104.379999999;9294104.379999999;9294104.379999999;9294104.379999999;9294104.379999999;111529252.55999996
