FINCA;GRUPO;2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12
ENANO;COSECHA;46648304.374162;37670789.372754;44782386.526194;44029248.697408;45750590.342672;46581983.91928;54642945.509024;50725376.961296;44240400.046592;49665316.95856;50707991.181648;51079960.852;11715909.916127242;5983864.455159192;15036558.860971097;6993882.014544117;11490445.413944697;13490869.408300566;13723796.303519454;12739883.151450906;8728977.773928968;10181397.624963611;12735516.642723305;12436015.228720507;22686170.094635427;16968563.942909855;23251624.071991075;19832690.907735787;22249590.598596912;23350318.088430565;26574152.54253564;24668946.60582472;20589197.1588365;23262417.958615627;24660491.491333127;24688659.902576063;81050384.38492467;60623217.770823054;83070569.45915617;70855821.6196879;79490626.35521361;83423171.41601112;94940894.3550791;88134206.71857163;73558574.97935747;83109132.54213923;88103999.31570444;88204635.98329657
EVA;COSECHA;37511374.20416;30518826.686976;35458487.445504;38489423.903232;31857348.578048002;29297342.00448;36931162.971392;39089245.242368;40050969.81248;42433746.50112;35447348.2176;30584511.09248;9421133.027281074;4847801.845040249;11905878.068455843;6113901.498456092;8001101.6716356175;8484967.400222046;9275410.634438854;9817421.706814522;7902370.343605635;8698924.56752656;8902744.570347648;7446157.737103282;18242665.560861144;13747008.510394715;18410528.87527619;17337312.58363616;15492979.612052022;14685983.665607685;17960495.16058645;19010021.443147246;18639463.318670485;19875269.244382918;17238881.066675253;14782520.97405902;65175172.79230222;49113637.04241096;65774894.38923603;61940637.985324256;55351429.86173564;52468293.07030973;64167068.76641731;67916688.39232977;66592803.47475612;71007940.31302948;61588973.8546229;52813189.8036423
SAMI;COSECHA;48142365.82792;37105569.590863995;50375731.090256;43921154.922752;39214966.216448;38353868.52352;60245365.591296;56212187.276544;51966345.514752;50153874.228224;42406355.841024;40255838.53952;12091149.48027059;5894081.399945311;16914633.284673743;6976711.721413603;9848997.036864566;11107878.798175834;15130866.71854952;14117917.706891874;10253367.386209406;10281551.940482551;10650527.421525352;9800755.771385504;23412767.40029368;16713964.340127578;26155764.632535193;19784000.764587168;19071162.516562596;19225781.18394317;29298741.498836953;27337311.807061527;24184802.404603697;23491250.151776236;20623210.52415293;19456998.20864897;83646282.70848428;59713615.33093689;93446129.00746495;70681867.40875277;68135125.76987515;68687528.505639;104674973.80868247;97667416.7904974;86404515.3055651;83926676.32048279;73680093.78670228;69513592.51955448
VEGA;COSECHA;19086543.924992;15809788.985856;21330930.045952;20903811.9616;18150334.84544;16035847.88864;19318575.311616;20680705.140224002;22494912.882432;25071835.24096;18952525.700608;15574912.35328;4793662.540053023;2511326.0415098863;7162275.396100328;3320492.600689167;4558529.851183693;4644231.771920599;4851938.159282316;5194042.563293204;4438422.671820832;5139730.085459427;4760003.322101427;3791894.981528621;9282236.252963;7121417.41113712;11075308.955325738;9415987.183361799;8826935.707577629;8038346.964059904;9395078.586138176;10057514.432357138;10468987.529938076;11743235.44237923;9217060.031127155;7527878.011040111;33162442.718008026;25442532.438503005;39568514.397378065;33640291.74565096;31535800.40420132;28718426.624620505;33565592.05703649;35932262.13587434;37402323.084190905;41954800.76879866;32929589.05383658;26894685.34584873
FEDERICA;COSECHA;29953637.131656;27900028.5102;33015016.498584;31916213.619472;43460523.176047996;41338744.04072;51577927.639568;51117512.749312;51496506.944576;58282563.426176004;49192622.965728;43578845.03456;7522976.8584948685;4431815.517538985;11085435.086996052;5069771.549808754;10915285.802335994;11972345.323954524;12954004.695193458;12838369.637271166;10160664.55277929;11947934.477880847;12354925.799268877;10609780.654885126;14567159.857971642;12567387.773582144;17141845.531314965;14376452.43529943;21135876.94989786;20722020.436048985;25083562.098521776;24859651.483664878;23966142.561022002;27298594.535306893;23923532.204954285;21063118.80548732;52043773.84812251;44899231.801321134;61242297.11689501;51362437.60458019;75511685.92828186;74033109.80072351;89615494.43328324;88815533.87024805;85623314.0583773;97529092.43936373;85471080.96995117;75251744.49493244
NEERLANDIA;COSECHA;30752501.9998556;23860666.628243204;32050766.3966662;39765359.554150596;34216668.4757714;29300296.293511;36143386.7929442;38493918.3180478;38669605.7610936;44657008.53924;39979215.3530024;38139955.039937;7723614.994361807;3790177.941331243;10761669.326863915;6316579.1199164055;8593654.386163957;8485823.00842415;9077557.467757033;9667902.947032038;7629816.386372934;9154693.627723515;10040941.292019717;9285619.13102564;14955666.675652305;10747883.284193587;16641193.765736155;17912049.562609844;16640372.496434273;14687464.572662191;17577381.03413457;18720499.92573653;17996585.38872024;20916608.63229872;19442834.887920097;18434320.680253178;53431783.66986971;38398727.85376803;59453629.48926627;63993988.23667685;59450695.35836963;52473583.87459734;62798325.294835806;66882321.190816365;64296007.53618678;74728310.79926224;69462991.53294222;65859894.85121582
SAN ANTONIO;COSECHA;42038388.4174876;33890608.0402592;41753302.5034792;38835167.0353956;37644682.614086404;33688556.143346;42783219.1953656;43391333.2488174;43105644.148436;47986656.2674778;40776380.2118282;35281223.657603;10558110.917987665;5383396.7430084;14019484.878642421;6168821.506069884;9454613.97246683;9756731.535343064;10745178.173988745;10897908.472861484;8505081.538736548;9837271.924778014;10241152.463671189;8589627.465947164;20444259.291699234;15265805.659256116;21678882.45543067;17493050.346067633;18307496.58319324;16887183.32070644;20806488.057468034;21102228.25721658;20061089.074603967;22476160.888329837;19830514.95096661;17052599.831723947;73040758.6271745;54539810.44252372;77451669.8375523;62497038.88753311;65406793.16974647;60332470.999395505;74334885.42682238;75391469.97889547;71671814.76177652;80300089.08058566;70848047.62646599;60923450.95527411
MRS;COSECHA;20618610.4765184;14941469.4126272;16908893.9656064;10195620.9645888;11105984.492435198;11161046.168992;14395192.2838528;13844047.8561792;13652606.643027201;15160103.110848;13340552.7025728;11588773.225952;5178447.23788948;2373396.7143978607;5677490.618751268;1619536.380949975;2789312.829028512;3232413.1275045048;3615410.641085689;3476988.493656554;2693766.327105348;3107823.472379719;3350533.653721866;2821422.685457769;10027316.333590344;6730288.46357464;8779327.687939826;4592551.660210921;5401102.068852944;5594737.628548192;7000721.3569235895;6732686.829181157;6353835.173490521;7100743.062900615;6487825.266691736;5601243.150764978;35824374.04799822;24045154.5905997;31365712.272297494;16407709.005749697;19296399.390316654;19988196.925044697;25011324.281862076;24053723.17901691;22700208.14362307;25368669.646128334;23178911.622986402;20011439.062174745
DON FUAD;COSECHA;42773846.3521408;35838829.4910272;49972248.884128;55668492.5534464;40973511.97576961;36738725.110752;46719099.1210368;53443302.3460672;56300531.5700544;62207089.6163968;49119941.6251008;42022972.517056;10742824.14658404;5692864.4574933285;16779156.27211548;8842732.509974722;10290662.901808871;10640108.063140409;11733690.302532446;13422501.081383048;11108536.274939243;12752462.951253144;12336671.587228466;10230985.252561128;20801929.822854344;16143369.43778993;25946271.18423184;25075513.18215179;19926384.774914753;18416152.45469198;22720599.248941366;25990737.792249907;26201904.67134903;29136778.08304553;23888185.555632383;20311113.385050178;74318600.32157919;57675063.38631046;92697676.3404753;89586738.24557291;71190559.65249322;65794985.62858439;81173388.67251062;92856541.21970014;93610972.51634267;104096330.65069549;85344798.76796165;72565071.1546673
EUFEMIA;COSECHA;71409355.39713293;56995485.69775294;72119257.15185803;68315514.2906528;77283745.76469189;76669342.30367015;86013659.7396222;83092727.43907227;83207969.99143015;90638261.44958416;80950004.0106426;78015131.47274813;17934747.816148322;9053520.423917374;24215445.832461935;10851664.764832921;19410124.666000277;22204637.879560184;21602677.79473683;20869073.85857095;16417584.8297939;18580857.555457015;20330920.22148908;18993698.250411656;34728052.91900242;25673248.67949325;37445299.050005175;30772282.4988673;37584907.43641005;38432316.09722163;41830470.399605356;40409952.16439392;38724453.159009784;42453471.5572595;39367895.249029584;37707332.113392204;124072156.13228369;91722254.80116355;133780002.03432514;109939461.55435301;134278777.8671022;137306296.28045195;149446807.9339644;144371753.46203712;138350007.98023385;151672590.56230065;140648819.4811613;134716161.836552
