;CONCEPTO;FINCA;SEMANA 1;SEMANA 2;SEMANA 3;SEMANA 4;SEMANA 5;SEMANA 6;SEMANA 7;SEMANA 8;SEMANA 9;SEMANA 10;SEMANA 11;SEMANA 12;SEMANA 13;SEMANA 14;SEMANA 15;SEMANA 16;SEMANA 17;SEMANA 18;SEMANA 19;SEMANA 20;SEMANA 21;SEMANA 22;SEMANA 23;SEMANA 24;SEMANA 25;SEMANA 26;SEMANA 27;SEMANA 28;SEMANA 29;SEMANA 30;SEMANA 31;SEMANA 32;SEMANA 33;SEMANA 34;SEMANA 35;SEMANA 36;SEMANA 37;SEMANA 38;SEMANA 39;SEMANA 40;SEMANA 41;SEMANA 42;SEMANA 43;SEMANA 44;SEMANA 45;SEMANA 46;SEMANA 47;SEMANA 48;SEMANA 49;SEMANA 50;SEMANA 51;SEMANA 52
0;CAJAS;ENANO;7969;8319;7813;7359;7989;5479;6037;6918;8895;8528;7881;10996;5932;9973;9081;9736;3075;6259;7684;7335;7933;9271;9187;9112;9794;9651;9473;9704;9755;9941;9967;9764;9638;9249;8932;8832;8854;8523;8166;8117;8542;8323;9164;9406;10244;9851;9751;9302;10343;10606;10349;9936
1;CAJAS;EVA;4098;6617;7238;7600;6414;4585;4992;5411;6998;5030;6915;8672;5511;8557;7658;6966;4637;4482;5003;5272;5683;5821;5436;5537;5980;5948;5860;6182;6379;6793;7191;7141;7266;6995;7244;7539;7895;7696;7549;7373;7799;7070;7407;7045;7287;6578;6586;6073;6218;6091;5903;5791
2;CAJAS;SAMI;4560;8771;9549;9418;8004;6011;5031;6875;8082;9268;10144;11023;6777;8463;9551;8376;4891;5626;6202;6690;6935;6782;6441;6791;7802;9330;10072;10491;10821;11369;11088;10469;10392;10567;10333;10346;10179;10164;9752;9622;9392;8219;8233;8250;8530;7911;7875;7546;8216;7893;7937;7645
3;CAJAS;VEGA;3625;3448;4037;2996;3455;2949;3097;3034;3528;4040;5456;5022;3034;4532;5040;4434;2609;3194;3464;3423;3382;3423;3399;3406;3547;3563;3586;3568;3713;3801;3945;3897;4036;4267;4484;4613;4705;4680;4758;4699;4928;4537;4869;4584;4547;3897;3637;3361;3460;3426;3303;3147
4;CAJAS;FEDERICA;5265;5243;3467;3098;3646;4033;4654;4113;5740;5822;5380;7296;3453;5413;6927;7337;1839;4916;6789;6781;8183;8249;8102;7695;7826;8369;8470;8596;8760;8980;9444;9611;9242;8671;8985;9627;9700;9431;9598;9472;10082;9743;10303;9370;9802;8779;8725;8484;9021;8505;7837;7814
5;CAJAS;NEERLANDIA;3000;5787;5936;4399;3398;3414;3938;3912;3929;4360;5352;7424;4904;6812;6957;6799;6637;6232;5758;5387;5306;5422;5372;5475;5649;5955;5870;5777;5992;6599;6614;6515;6945;7134;6968;7020;6942;7086;7356;7501;7763;7180;7604;7292;7647;7244;7242;7030;7626;7687;7127;6831
6;CAJAS;SAN ANTONIO;4680;5584;8506;6538;4917;3309;6143;5854;5890;6808;6846;8757;4908;7925;5999;6799;5104;5508;6138;6017;5968;6205;6100;6106;6445;6913;7068;6968;7169;7499;7501;7315;7659;7883;7867;7906;7876;7814;7819;7948;8190;7514;8010;7607;7946;7365;7206;6547;6818;6831;6339;6299
7;CAJAS;MRS;2254;3631;3980;2133;2343;1970;2104;1945;2398;1446;2927;2915;2999;1965;1461;1470;2263;2053;1776;1794;1915;2111;2201;2181;2204;2391;2460;2508;2525;2607;2571;2525;2537;2489;2561;2507;2589;2654;2691;2653;2734;2484;2659;2595;2765;2509;2461;2323;2409;2317;2214;2246
8;CAJAS;DON FUAD;6749;8353;6299;5817;7720;7329;4817;4965;7601;6891;10710;10522;8849;12043;11044;10182;8209;7503;6944;6897;7262;7321;7320;7386;7603;7955;7997;8164;8465;8776;8919;9566;9853;10435;10864;11125;10761;11174;10750;10992;11481;10780;11200;10572;10791;9457;9097;8538;9069;8758;8302;8041
9;CAJAS;EUFEMIA;9138;12311;13580;12180;11745;8499;9751;9419;12271;11988;12508;14928;12436;12416;12225;11766;10625;11250;11436;12300;14126;15245;15075;14993;15268;15859;15831;15332;15092;14824;14677;14484;15410;15925;15673;15791;15825;16073;15916;15588;15952;15110;15790;15241;15896;14806;15092;14462;15374;15398;15053;14977
10;CAJAS;OLGA;2960;2754;1919;2118;1625;1929;1958;2207;2057;2687;2765;2977;1971;2935;2007;2927;2111;2107;2138;2143;2309;2550;2602;2683;2742;2861;2848;2835;2887;2915;2921;2838;2933;2980;2865;2881;2899;2953;2986;3057;3233;3050;3199;3016;3050;2745;2623;2373;2474;2437;2297;2351
11;CAJAS;DON SAID;17746;16791;24484;20235;22940;18146;18672;24133;28517;22391;23747;24961;20501;24832;27370;30032;19268;20855;19904;19002;18364;18136;18295;18679;19984;21562;21535;21336;21157;22913;23328;23352;24367;24970;25157;26650;27402;27518;27867;28317;29194;26889;28421;27603;28082;24777;23192;20599;21022;20784;19606;19873
12;CAJAS;ASUNTINA;6819;9675;11727;12789;14506;12338;14651;13603;15331;14783;14716;16468;5976;11622;10821;9347;7862;5213;6856;8009;8635;8738;8449;8979;7627;7604;8503;9075;10100;10690;11011;11507;12337;12970;13338;14681;15816;15346;14667;14483;14301;13987;13872;13131;12081;10947;10581;10181;9382;9252;9264;9216
13;CAJAS;PORLAMAR;18187;21267;21526;24924;19974;17028;18250;18539;20669;20713;20729;26415;17217;22797;20594;20311;18769;19713;19196;19142;20087;21103;20273;21528;23571;24162;24641;25902;27531;29548;31145;32777;34998;37249;38746;37794;36746;35571;34963;34118;32373;29996;29076;27839;25838;23474;22158;21151;20359;19728;19305;19780
14;CAJAS;EL MORRO;1452;2054;2207;2072;1856;2646;3724;2976;3231;3130;2337;2251;2350;2315;2154;2085;1671;1619;2155;2231;2995;2681;2759;3089;3252;3428;3545;3400;3488;3361;3412;3318;3062;2827;2405;1996;1907;1948;1991;2096;2139;2041;2007;2032;2185;2102;2225;2239;2330;2349;2522;2326
